1.618567162444382035e+01, 1.176909541632208800e+01, 1.176909541632208800e+01, 1.176909541632208800e+01, 1.176909541632208800e+01, 1.157850490651818198e+01, 1.157850490651818198e+01, 5.806392627182114907e+00, 5.806392627182114907e+00, 5.806392627182114907e+00
1.184935443278673262e+01, 1.184935443278673262e+01, 1.184935443278673262e+01, 1.119902765054578353e+01, 1.119902765054578353e+01, 1.119902765054578353e+01, 1.102389159496984661e+01, 1.102389159496984661e+01, 1.100617371344715067e+01, 1.100617371344715067e+01
1.178618132429875587e+01, 1.178618132429875587e+01, 1.070817263156530075e+01, 1.070817263156530075e+01, 6.898214942179038189e+00, 6.898214942179038189e+00, 6.898214942179038189e+00, 6.792653018687166977e+00, 3.408157753589976746e+00, 3.408157753589976746e+00
1.110341496322618227e+01, 1.110341496322618227e+01, 1.067769680269048038e+01, 1.067769680269048038e+01, 7.500793770948328998e+00, 7.500793770948328998e+00, 7.500793770948328998e+00, 7.500793770948328998e+00, 7.500793770948328998e+00, 7.500793770948328998e+00
1.202008754889865827e+01, 1.199510088020661769e+01, 1.199510088020661769e+01, 1.199281782193160772e+01, 1.199281782193160772e+01, 1.199281782193160772e+01, 1.172525564627238026e+01, 1.165695006326513905e+01, 1.158327125918085088e+01, 1.158327125918085088e+01
1.190457699665820002e+01, 1.190457699665820002e+01, 1.098621844532542369e+01, 7.732803698041450069e+00, 5.555751465481948870e+00, 5.555751465481948870e+00, 5.555751465481948870e+00, 5.555751465481948870e+00, 5.555751465481948870e+00, 5.555751465481948870e+00
1.375833857226859180e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01, 1.164605495239904798e+01
7.747043073915817146e+00, 7.747043073915817146e+00, 7.747043073915817146e+00, 7.747043073915817146e+00, 6.461509505225285110e+00, 3.076443974824280225e+00, 3.076443974824280225e+00, 3.076443974824280225e+00, 3.076443974824280225e+00, 3.076443974824280225e+00
1.200891110868006884e+01, 1.200891110868006884e+01, 1.200891110868006884e+01, 1.200891110868006884e+01, 1.200891110868006884e+01, 1.184412984416546522e+01, 8.037332697045052043e+00, 8.037332697045052043e+00, 8.037332697045052043e+00, 8.037332697045052043e+00
8.930797234286471209e+00, 8.585616624972676192e+00, 8.117539477334167586e+00, 8.117539477334167586e+00, 7.690033336971131561e+00, 7.690033336971131561e+00, 3.027355617489243755e+00, 3.027355617489243755e+00, 3.027355617489243755e+00, 3.027355617489243755e+00
